Date,Close
01/10/2012,29.49
02/10/2012,29.66
03/10/2012,29.86
04/10/2012,30.03
05/10/2012,29.85
08/10/2012,29.78
09/10/2012,29.28
10/10/2012,28.98
11/10/2012,28.95
12/10/2012,29.2
15/10/2012,29.51
16/10/2012,29.49
17/10/2012,29.59
18/10/2012,29.5
19/10/2012,28.64
22/10/2012,28
23/10/2012,28.05
24/10/2012,27.9
25/10/2012,27.88
26/10/2012,28.21
31/10/2012,28.54
01/11/2012,29.52
02/11/2012,29.5
05/11/2012,29.63
06/11/2012,29.86
07/11/2012,29.08
08/11/2012,28.81
09/11/2012,28.83
12/11/2012,28.22
13/11/2012,27.09
14/11/2012,26.84
15/11/2012,26.66
16/11/2012,26.52
19/11/2012,26.73
20/11/2012,26.71
21/11/2012,26.95
23/11/2012,27.7
26/11/2012,27.39
27/11/2012,27.08
28/11/2012,27.36
29/11/2012,26.95
30/11/2012,26.62
03/12/2012,26.43
04/12/2012,26.37
05/12/2012,26.67
06/12/2012,26.73
07/12/2012,26.46
10/12/2012,26.94
11/12/2012,27.32
12/12/2012,27.24
13/12/2012,27.11
14/12/2012,26.81
17/12/2012,27.1
18/12/2012,27.56
19/12/2012,27.31
20/12/2012,27.68
21/12/2012,27.45
24/12/2012,27.06
26/12/2012,26.86
27/12/2012,26.96
28/12/2012,26.55
31/12/2012,26.71
02/01/2013,27.62
03/01/2013,27.25
04/01/2013,26.74
07/01/2013,26.69
08/01/2013,26.55
09/01/2013,26.7
10/01/2013,26.46
11/01/2013,26.83
14/01/2013,26.89
15/01/2013,27.21
16/01/2013,27.04
17/01/2013,27.25
18/01/2013,27.25
22/01/2013,27.15
23/01/2013,27.61
24/01/2013,27.63
25/01/2013,27.88
28/01/2013,27.91
29/01/2013,28.01
30/01/2013,27.85
31/01/2013,27.45
01/02/2013,27.93
04/02/2013,27.44
05/02/2013,27.5
06/02/2013,27.34
07/02/2013,27.28
08/02/2013,27.55
11/02/2013,27.86
12/02/2013,27.88
13/02/2013,28.03
14/02/2013,28.04
15/02/2013,28.01
19/02/2013,28.05
20/02/2013,27.87
21/02/2013,27.49
22/02/2013,27.76
25/02/2013,27.37
26/02/2013,27.37
27/02/2013,27.81
28/02/2013,27.8
01/03/2013,27.95
04/03/2013,28.15
05/03/2013,28.35
06/03/2013,28.09
07/03/2013,28.14
08/03/2013,28
11/03/2013,27.87
12/03/2013,27.91
13/03/2013,27.92
14/03/2013,28.14
15/03/2013,28.04
18/03/2013,28.1
19/03/2013,28.18
20/03/2013,28.32
21/03/2013,28.11
22/03/2013,28.25
25/03/2013,28.16
26/03/2013,28.16
27/03/2013,28.37
28/03/2013,28.61
01/04/2013,28.61
02/04/2013,28.8
03/04/2013,28.56
04/04/2013,28.6
05/04/2013,28.7
08/04/2013,28.59
09/04/2013,29.61
10/04/2013,30.28
11/04/2013,28.94
12/04/2013,28.79
15/04/2013,28.69
16/04/2013,28.97
17/04/2013,28.83
18/04/2013,28.79
19/04/2013,29.77
22/04/2013,30.83
23/04/2013,30.6
24/04/2013,31.76
25/04/2013,31.94
26/04/2013,31.79
29/04/2013,32.61
30/04/2013,33.1
01/05/2013,32.72
02/05/2013,33.16
03/05/2013,33.49
06/05/2013,33.75
07/05/2013,33.31
08/05/2013,32.99
09/05/2013,32.66
10/05/2013,32.69
13/05/2013,33.03
14/05/2013,33.53
15/05/2013,33.85
16/05/2013,34.08
17/05/2013,34.87
20/05/2013,35.08
21/05/2013,34.85
22/05/2013,34.61
23/05/2013,34.15
24/05/2013,34.27
28/05/2013,35.02
29/05/2013,34.88
30/05/2013,35.03
31/05/2013,34.9
03/06/2013,35.59
04/06/2013,34.99
05/06/2013,34.78
06/06/2013,34.96
07/06/2013,35.67
10/06/2013,35.47
11/06/2013,34.84
12/06/2013,35
13/06/2013,34.72
14/06/2013,34.4
17/06/2013,35
18/06/2013,34.98
19/06/2013,34.59
20/06/2013,33.49
21/06/2013,33.27
24/06/2013,33.72
25/06/2013,33.67
26/06/2013,34.35
27/06/2013,34.62
28/06/2013,34.54
01/07/2013,34.36
02/07/2013,33.94
03/07/2013,34.01
05/07/2013,34.21
08/07/2013,34.33
09/07/2013,34.35
10/07/2013,34.7
11/07/2013,35.69
12/07/2013,35.67
15/07/2013,36.17
16/07/2013,36.27
17/07/2013,35.74
18/07/2013,35.44
19/07/2013,31.4
22/07/2013,32.01
23/07/2013,31.82
24/07/2013,31.96
25/07/2013,31.39
26/07/2013,31.62
29/07/2013,31.54
30/07/2013,31.85
31/07/2013,31.84
01/08/2013,31.67
02/08/2013,31.89
05/08/2013,31.7
06/08/2013,31.58
07/08/2013,32.06
08/08/2013,32.89
09/08/2013,32.7
12/08/2013,32.87
13/08/2013,32.23
14/08/2013,32.35
15/08/2013,31.79
16/08/2013,31.8
19/08/2013,31.39
20/08/2013,31.62
21/08/2013,31.61
22/08/2013,32.39
23/08/2013,34.75
26/08/2013,34.15
27/08/2013,33.26
28/08/2013,33.02
29/08/2013,33.55
30/08/2013,33.4
03/09/2013,31.88
04/09/2013,31.2
05/09/2013,31.24
06/09/2013,31.15
09/09/2013,31.66
10/09/2013,32.39
11/09/2013,32.74
12/09/2013,32.69
13/09/2013,33.03
16/09/2013,32.8
17/09/2013,32.93
18/09/2013,33.32
19/09/2013,33.64
20/09/2013,32.79
23/09/2013,32.74
24/09/2013,32.46
25/09/2013,32.51
26/09/2013,32.77
27/09/2013,33.27
30/09/2013,33.28
01/10/2013,33.58
02/10/2013,33.92
03/10/2013,33.86
04/10/2013,33.88
07/10/2013,33.3
08/10/2013,33.01
09/10/2013,33.07
10/10/2013,33.76
11/10/2013,34.13
14/10/2013,34.45
15/10/2013,34.49
16/10/2013,34.64
17/10/2013,34.92
